-72.029149,42.138899,"SERVICE PLAZA EB I-90 MM80","RR, PT, VM, HF, Gas, Food"
-72.034886,44.566552,"REST AREA SB I-91 MM141","RR, PT, HF"
-72.036261,44.307267,"TURNOUT NB I-91 MM122","Scenic Vista-NO FACILITIES"
-72.063419,44.582934,"TURNOUT NB I-91 MM143","Scenic Vista-NO FACILITIES"
-72.069704,44.232699,"TURNOUT SB I-91 MM115","NO FACILITIES"
-72.070454,44.199549,"TURNOUT NB I-91 MM114","NO FACILITIES"
-72.096531,42.084768,"TURNOUT WB I-84","NO FACILITIES"
-72.09896,43.464305,"REST AREA NB I-89","RR, PT, Pets, HF"
-72.101542,44.998194,"REST AREA SB I-91 MM176","RR,PT, Pets, HF"
-72.110755,42.058786,"TURNOUT EB I-84","NO FACILITIES"
-72.116578,41.475224,"SERVICE PLAZA SB I-395 MM8.5","RR, PT, VM, HF, Gas, Food"
-72.118733,42.05392,"TURNOUT WB I-84 MM4","PT, NO FACILITIES"
-72.119942,44.018884,"TURNOUT SB I-91 MM100","NO FACILITIES"
-72.121539,44.014472,"REST AREA NB I-91 MM100","RR, PT, Pets, HF"
-72.124642,42.041369,"TURNOUT EB I-84 MM0.5","PT, NO FACILITIES"
-72.166457,44.710342,"TURNOUT NB I-91 MM154","NO FACILITIES"
-72.173306,44.878859,"TURN OUT SB I-91 MM167","PT, NO FACILITIES"
-72.175244,44.873771,"TURN OUT NB I-91 MM167","PT, NO FACILITIES"
-72.257135,43.650915,"TURNOUT NB I-89 MM57","NO FACILITIES"
-72.265235,43.646958,"REST AREA SB I-89 MM57.2","RR, PT,Pets, HF"
-72.293977,41.894671,"REST AREA WB I-84 CT","RR,PT,VM,RV,Pets,HF"
-72.300444,41.891268,"REST AREA EB I-84 CT","RR,PT,VM,RV,Pets,HF"
-72.346863,43.622486,"REST AREA SB I-91 MM68","RR, PT, VM, Pets, HF"
-72.346979,43.620523,"REST AREA NB I-91 MM68","RR, PT, VM, Pets, HF"
-72.425196,43.726161,"REST AREA NB I-89 MM9","RR, PT, VM"
-72.426714,41.290760,"REST AREA SB I-95","RR, HF"
-72.430553,43.728635,"REST AREA SB I-89 MM9","RR, PT, VM"
-72.434081,41.291012,"REST AREA NB I-95 CT","RR, VM, Pets, HF"
-72.451092,42.170509,"SERVICE PLAZA EB I-90 MM55","RR, PT, VM, HF, Gas, Food"
-72.458028,42.169353,"SERVICE PLAZA WB I-90 MM56","RR, PT, VM, HF, Gas, Food"
-72.566558,42.808992,"REST AREA NB I-91 MM62","RR, PT, VM, Pets, HF"
-72.576786,41.29103,"SERVICE PLAZA SB I-95 MM62","RR, VM, Pets, HF, Gas, Food"
-72.568249,42.720228,"Turnout SB I-91","NO FACILITIES"
-72.583511,41.291008,"SERVICE PLAZA NB I-95 MM62","RR, VM, Pets, HF, Gas, Food"
-72.624196,43.993314,"REST AREA NB I-89 MM34","RR, PT, Pets, HF"
-72.628053,43.985576,"REST AREA SB I-89 MM34","RR, PT, Pets, HF"
-72.745329,41.550665,"REST AREA NB I-91 CT","RR,PT,VM,RV,Pets,HF"
-72.776372,41.464619,"REST AREA SB I-91 CT","RR,PT,VM,RV,Pets,HF"
-72.786021,44.354821,"REST AREA NB I-89 MM26","RR, PT, VM, Pets, HF"
-72.810555,44.361271,"TURNOUT SB I-89 MM67","NO FACILITIES"
-72.830359,41.286741,"SERVICE PLAZA SB I-95 CT","RR, VM, Pets, HF, Gas, Food"
